year,age_group,accidents,deaths,injuries
2007,19세 이하,6848,226,9811
2007,20-29세,34807,1070,57195
2007,30-39세,47172,1294,75746
2007,40-49세,60168,1603,97042
2007,50-59세,38559,1049,61491
2007,60-64세,9087,333,14222
2007,65세 이상,8341,514,12515
2007,불명,6680,77,7884
2008,19세 이하,7818,209,10968
2008,20-29세,33673,991,54455
2008,30-39세,45169,1121,72172
2008,40-49세,59590,1526,95185
2008,50-59세,42259,1099,67180
2008,60-64세,10245,310,15877
2008,65세 이상,10155,559,15035
2008,불명,6913,55,8090
2009,19세 이하,7910,186,10950
2009,20-29세,35320,961,56948
2009,30-39세,46804,1110,74256
2009,40-49세,63022,1454,99523
2009,50-59세,47759,1152,75346
2009,60-64세,12065,343,18768
2009,65세 이상,11998,585,17814
2009,불명,7112,47,8270
2010,19세 이하,7817,190,11027
2010,20-29세,33180,840,53463
2010,30-39세,44729,1020,70191
2010,40-49세,60042,1393,94703
2010,50-59세,48988,1107,77011
2010,60-64세,12530,366,19200
2010,65세 이상,12623,547,18660
2010,불명,6969,42,8203
2011,19세 이하,7637,193,10523
2011,20-29세,30101,762,48565
2011,30-39세,42347,933,66391
2011,40-49세,56195,1188,87662
2011,50-59세,51416,1159,79624
2011,60-64세,13362,359,20673
2011,65세 이상,13596,605,19814
2011,불명,7057,30,8139
2012,19세 이하,7302,144,10239
2012,20-29세,29163,685,47035
2012,30-39세,41120,954,64323
2012,40-49세,54911,1244,85995
2012,50-59세,53929,1230,83894
2012,60-64세,14365,398,22135
2012,65세 이상,15190,718,22043
2012,불명,7676,19,8901
2013,19세 이하,6775,136,9486
2013,20-29세,26564,630,42614
2013,30-39세,38283,881,59026
2013,40-49세,50747,1092,78574
2013,50-59세,53665,1233,82944
2013,60-64세,15069,366,22771
2013,65세 이상,17590,737,25734
2013,불명,6661,17,7562
2014,19세 이하,7808,138,10548
2014,20-29세,27114,525,42391
2014,30-39세,37681,767,57948
2014,40-49세,51435,986,78502
2014,50-59세,56172,1207,86257
2014,60-64세,16454,367,24984
2014,65세 이상,20275,763,29420
2014,불명,6613,9,7447
2015,19세 이하,8177,117,11189
2015,20-29세,28830,565,45506
2015,30-39세,38359,661,59160
2015,40-49세,50178,918,76426
2015,50-59세,58747,1136,89612
2015,60-64세,18704,405,28040
2015,65세 이상,23063,815,33787
2015,불명,5977,4,6680
2016,19세 이하,7492,114,10266
2016,20-29세,28093,491,43836
2016,30-39세,35627,599,54425
2016,40-49세,45345,828,68806
2016,50-59세,54976,1076,83280
2016,60-64세,19993,424,29917
2016,65세 이상,24429,759,35687
2016,불명,4962,1,5503
2017,19세 이하,6759,101,9270
2017,20-29세,27587,469,42845
2017,30-39세,33919,585,51870
2017,40-49세,42233,713,63466
2017,50-59세,53389,1053,79985
2017,60-64세,21176,415,31716
2017,65세 이상,26713,848,38627
2017,불명,4559,1,5050
2018,19세 이하,5318,74,7411
2018,20-29세,27023,394,41598
2018,30-39세,33285,507,50335
2018,40-49세,40645,599,60930
2018,50-59세,53423,923,79669
2018,60-64세,23235,437,34872
2018,65세 이상,30012,843,43469
2018,불명,4207,4,4753
2019,19세 이하,5856,76,8330
2019,20-29세,28776,362,44778
2019,30-39세,34586,407,52372
2019,40-49세,42031,548,63005
2019,50-59세,55728,788,82947
2019,60-64세,25293,398,37531
2019,65세 이상,33239,769,48223
2019,불명,4091,1,4526
2020,19세 이하,5636,88,8092
2020,20-29세,28018,357,42565
2020,30-39세,31128,388,46384
2020,40-49세,37273,476,54615
2020,50-59세,49309,683,71872
2020,60-64세,23748,369,34552
2020,65세 이상,31072,720,44269
2020,불명,3470,0,3845
2021,19세 이하,5470,66,7580
2021,20-29세,27546,334,40764
2021,30-39세,29830,353,43441
2021,40-49세,35494,476,51398
2021,50-59세,45857,617,65635
2021,60-64세,24139,360,34809
2021,65세 이상,31841,709,44713
2021,불명,2953,1,3268
2022,19세 이하,5317,58,7075
2022,20-29세,24872,318,36783
2022,30-39세,28260,304,41135
2022,40-49세,33402,417,47707
2022,50-59세,43684,524,62326
2022,60-64세,23935,379,34417
2022,65세 이상,34652,735,49281
2022,불명,2714,0,3079
2023,19세 이하,4606,49,6048
2023,20-29세,22833,272,33931
2023,30-39세,27707,260,40589
2023,40-49세,32757,352,47102
2023,50-59세,43183,550,61395
2023,60-64세,24945,323,35717
2023,65세 이상,39614,745,56067
2023,불명,2651,0,2950
